,title,rank,date,artist,url,region,chart,trend,streams,predict_days_stay,num_days_cumulative,Num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
112577,Psychopath - Recorded at Spotify Studios NYC,14,2018-03-30,"CHARLOTTE LAWRENCE, NINA NESBITT, SASHA SLOAN",https://open.spotify.com/track/3dBE30R12dDxc1jBDaqmo3,United States,viral50,MOVE_UP,,1,0,3,,,,,,,,,,,,,
395522,Never Left,31,2021-05-06,LIL TECCA,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz,United States,top200,NEW_ENTRY,474086.0,56,0,1,,,,,,,,,,,,,
430880,Too Easy,19,2021-09-24,"GUNNA, FUTURE",https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY,United States,top200,NEW_ENTRY,754954.0,38,0,2,,,,,,,,,,,,,
432324,"Last One Standing (feat. Polo G, Mozzy & Eminem)",48,2021-09-30,SKYLAR GREY,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ,United States,top200,NEW_ENTRY,385460.0,1,0,1,,,,,,,,,,,,,
432573,Need to Know,8,2021-10-01,DOJA CAT,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,United States,top200,MOVE_UP,837501.0,90,0,1,,,,,,,,,,,,,
439594,Sad Girlz Luv Money Remix (feat. Kali Uchis),10,2021-10-29,"AMAARAE, MOLIY",https://open.spotify.com/track/15HMh4yxdf4wyxSZSlOgGZ,United States,viral50,NEW_ENTRY,,3,0,2,,,,,,,,,,,,,
440811,Ric Flair Drip (with Metro Boomin),200,2021-11-03,OFFSET,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,United States,top200,NEW_ENTRY,207291.0,7,0,1,,,,,,,,,,,,,
442865,masquerade,81,2021-11-11,SIOUXXIE,https://open.spotify.com/track/0RYHqnmtNRfbYxP6Dn8Vse,United States,top200,MOVE_UP,296905.0,20,33,1,,,,,,,,,,,,,
443224,Have Yourself A Merry Little Christmas - Remastered 1999,135,2021-11-13,FRANK SINATRA,https://open.spotify.com/track/2FPfeYlrbSBR8PwCU0zaqq,United States,top200,NEW_ENTRY,274561.0,10,0,1,,,,,,,,,,,,,
444275,Major (feat. Key Glock),160,2021-11-17,YOUNG DOLPH,https://open.spotify.com/track/3Yt2ph8Ko0JBANpdawzSF2,United States,top200,NEW_ENTRY,250037.0,3,1,1,,,,,,,,,,,,,
446626,Little Saint Nick - 1991 Remix,114,2021-11-26,THE BEACH BOYS,https://open.spotify.com/track/5xlS0QkVrSH7ssEbBgBzbM,United States,top200,NEW_ENTRY,263656.0,29,0,1,,,,,,,,,,,,,
451445,Deck The Halls,97,2021-12-17,NAT KING COLE,https://open.spotify.com/track/0rHToGels2lt8Y0mCYoF90,United States,top200,NEW_ENTRY,375409.0,9,0,1,,,,,,,,,,,,,
